Driver,Age,Date Of Accident,Event,Car,Session
Cameron Earl,29,6/18/52,N/A,ERA,Test
Chet Miller,50,5/15/53,1953 Indianapolis 500,Kurtis Kraft,Practice
Charles de Tornaco,26,9/18/53,1953 Modena Grand Prix,Ferrari,Practice
Onofre Marimón,30,7/31/54,1954 German Grand Prix,Maserati,Practice
Mario Alborghetti,26,4/11/55,1955 Pau Grand Prix,Maserati,Race
Manny Ayulo,33,5/16/55,1955 Indianapolis 500,Kuzma,Practice
Bill Vukovich,36,5/30/55,1955 Indianapolis 500,Kurtis Kraft,Race
Eugenio Castellotti,26,3/14/57,N/A,Ferrari,Test
Keith Andrews,36,5/15/57,1957 Indianapolis 500,Kurtis Kraft,Practice
Pat O'Connor,29,5/30/58,1958 Indianapolis 500,Kurtis Kraft,Race
Luigi Musso,33,7/6/58,1958 French Grand Prix,Ferrari,Race
Peter Collins,26,8/3/58,1958 German Grand Prix,Ferrari,Race
Stuart Lewis-Evans,28,9/19/58,1958 Moroccan Grand Prix,Vanwall,Race
Jerry Unser Jr.,26,5/17/59,1959 Indianapolis 500,Kurtis Kraft,Pre-race test
Harry Schell,38,5/13/60,1960 BRDC International Trophy,Cooper,Practice
Bob Cortner,32,5/19/59,1959 Indianapolis 500,Cornis,Pre-race test
Chris Bristow,22,6/19/60,1960 Belgian Grand Prix,Cooper,Race
Alan Stacey,26,6/19/60,1960 Belgian Grand Prix,Lotus,Race
Shane Summers,24,6/1/61,1961 Silver City Trophy,Cooper,Practice
Giulio Cabianca,38,6/15/61,N/A,Cooper,Test
Wolfgang von Trips,33,9/10/61,1961 Italian Grand Prix,Ferrari,Race
Ricardo Rodríguez,20,11/1/62,1962 Mexican Grand Prix,Lotus,Practice
Gary Hocking,25,12/21/62,1962 Natal Grand Prix,Lotus,Practice
Carel Godin de Beaufort,30,8/2/64,1964 German Grand Prix,Porsche,Practice
John Taylor,33,8/7/66,1966 German Grand Prix,Brabham,Race
Lorenzo Bandini,31,5/7/67,1967 Monaco Grand Prix,Ferrari,Race
Bob Anderson,36,8/14/67,N/A,Brabham,Test
Jo Schlesser,40,7/7/68,1968 French Grand Prix,Honda,Race
Gerhard Mitter,33,8/2/69,1969 German Grand Prix,BMW,Practice
Martin Brain,,5/25/70,Nottingham Sportscar Club Meeting,Cooper,Race
Piers Courage,28,6/7/70,1970 Dutch Grand Prix,De Tomaso,Race
Jochen Rindt,28,9/5/70,1970 Italian Grand Prix,Lotus,Qualifying
Jo Siffert,35,10/24/71,1971 World Championship Victory Race,BRM,Race
Roger Williamson,25,7/29/73,1973 Dutch Grand Prix,March,Race
François Cevert,29,10/6/73,1973 United States Grand Prix,Tyrrell,Qualifying
Peter Revson,35,3/22/74,1974 South African Grand Prix,Shadow,Pre-race test
Helmuth Koinigg,25,10/6/74,1974 United States Grand Prix,Surtees,Race
Mark Donohue,38,8/19/75,1975 Austrian Grand Prix,Penske,Practice
Tom Pryce,27,3/5/77,1977 South African Grand Prix,Shadow,Race
Brian McGuire,31,8/29/77,1977 Shellsport Championship,McGuire,Practice
Ronnie Peterson,34,9/10/78,1978 Italian Grand Prix,Lotus,Race
Patrick Depailler,35,8/1/80,N/A,Alfa Romeo,Test
Gilles Villeneuve,32,5/8/82,1982 Belgian Grand Prix,Ferrari,Qualifying
Riccardo Paletti,23,6/13/82,1982 Canadian Grand Prix,Osella,Race
Elio de Angelis,28,5/15/86,N/A,Brabham,Test
Roland Ratzenberger,33,4/30/94,1994 San Marino Grand Prix,Simtek,Qualifying
Ayrton Senna,34,5/1/94,1994 San Marino Grand Prix,Williams,Race
John Dawson-Damer,59,6/24/00,2000 Goodwood Festival of Speed,Lotus,Demonstration
Fritz Glatz,58,7/14/02,2002 EuroBOSS Series Season,Footwork,Race
Maria de Villota,33,7/3/12,N/A,Marussia,Test
Jules Bianchi,25,10/5/14,2014 Japanese Grand Prix,Marussia,Race
